Instance,Time,Best Bound,Best Objective,Gap,Nodes,Simplex Iterations,Depth,Root Time,Root Bound,Root Heu,Root Iterations,instance_name
kr-vs-kp_enc.csv,3600.0,3196.0,1918.0,66.6,0,0,4,171.12,3196.0,-0.0,85548,run_experiment.py_kr-vs-kp_enc.csv
monk2_enc.csv,3600.0,161.0,135.0,19.3,184731,0,4,0.57,169.0,7.0,5280,run_experiment.py_monk2_enc.csv
hayes-roth_enc.csv,3600.0,115.0,111.0,3.6,769783,0,4,0.11,132.0,10.0,1049,run_experiment.py_hayes-roth_enc.csv
soybean-small_enc.csv,1.523226261138916,47.0,47.0,0.0,1,3017,4,0.14,47.0,-0.0,2075,run_experiment.py_soybean-small_enc.csv
house-votes-84_enc.csv,987.0062928050756,231.0,231.0,0.0,4905,3246563,4,0.75,232.0,3.0,5918,run_experiment.py_house-votes-84_enc.csv
spect_enc.csv,3600.0,240.44748,229.0,5.0,44084,0,4,3.65,253.6667,23.0,12524,run_experiment.py_spect_enc.csv
breast-cancer_enc.csv,3600.0,271.0,230.0,17.8,51166,0,4,1.81,277.0,-0.0,9887,run_experiment.py_breast-cancer_enc.csv
monk3_enc.csv,3600.0,121.33333,120.0,1.11,209294,0,4,0.03,122.0,3.0,2399,run_experiment.py_monk3_enc.csv
monk1_enc.csv,49.33399873971939,124.0,124.0,0.0,576,317947,4,0.39,124.0,2.0,4049,run_experiment.py_monk1_enc.csv
balance-scale_enc.csv,3600.0,577.33333,485.0,19.0,2771,0,4,0.36,625.0,16.0,3699,run_experiment.py_balance-scale_enc.csv
car_evaluation_enc.csv,3600.0,1728.0,1404.0,23.1,389,0,4,13.83,1728.0,-0.0,23828,run_experiment.py_car_evaluation_enc.csv
tic-tac-toe_enc.csv,3600.0,958.0,751.0,27.6,654,0,4,0.47,958.0,-0.0,4560,run_experiment.py_tic-tac-toe_enc.csv
