Instance,Time,Best Bound,Best Objective,Gap,Nodes,Simplex Iterations,Depth,Root Time,Root Bound,Root Obj,Root Iterations,Filename,instance_name
kr-vs-kp_enc.csv,600.0,3196.0,3016.0,5.97,1891,0,4,220.15,3196.0,-0.0,85548,logs/raw/251125_175746/depth-4/run_experiment.py_kr-vs-kp_enc.csv/stdout.log,run_experiment.py_kr-vs-kp_enc.csv
monk2_enc.csv,600.0,152.26667,138.0,10.3,4796565,0,4,0.7,169.0,7.0,5280,logs/raw/251125_175746/depth-4/run_experiment.py_monk2_enc.csv/stdout.log,run_experiment.py_monk2_enc.csv
hayes-roth_enc.csv,600.0,111.0,111.0,0.0,2289431,153392708,4,0.11,132.0,10.0,1049,logs/raw/251125_175746/depth-4/run_experiment.py_hayes-roth_enc.csv/stdout.log,run_experiment.py_hayes-roth_enc.csv
soybean-small_enc.csv,2.2749005630612373,47.0,47.0,0.0,1,3017,4,0.23,47.0,-0.0,2075,logs/raw/251125_175746/depth-4/run_experiment.py_soybean-small_enc.csv/stdout.log,run_experiment.py_soybean-small_enc.csv
house-votes-84_enc.csv,600.0,231.0,231.0,0.0,4905,3246563,4,0.81,232.0,3.0,5918,logs/raw/251125_175746/depth-4/run_experiment.py_house-votes-84_enc.csv/stdout.log,run_experiment.py_house-votes-84_enc.csv
spect_enc.csv,600.0,233.0,230.0,1.3,1424909,0,4,4.14,253.6667,23.0,12524,logs/raw/251125_175746/depth-4/run_experiment.py_spect_enc.csv/stdout.log,run_experiment.py_spect_enc.csv
breast-cancer_enc.csv,600.0,268.5,233.0,15.2,1553793,0,4,2.17,277.0,-0.0,9887,logs/raw/251125_175746/depth-4/run_experiment.py_breast-cancer_enc.csv/stdout.log,run_experiment.py_breast-cancer_enc.csv
monk3_enc.csv,600.0,120.0,120.0,0.0,360353,49201238,4,0.04,122.0,3.0,2399,logs/raw/251125_175746/depth-4/run_experiment.py_monk3_enc.csv/stdout.log,run_experiment.py_monk3_enc.csv
monk1_enc.csv,53.8898666575551,124.0,124.0,0.0,576,317947,4,0.41,124.0,2.0,4049,logs/raw/251125_175746/depth-4/run_experiment.py_monk1_enc.csv/stdout.log,run_experiment.py_monk1_enc.csv
balance-scale_enc.csv,600.0,513.91679,485.0,5.96,285927,0,4,0.42,625.0,16.0,3699,logs/raw/251125_175746/depth-4/run_experiment.py_balance-scale_enc.csv/stdout.log,run_experiment.py_balance-scale_enc.csv
car_evaluation_enc.csv,600.0,1727.97142,1440.0,20.0,10704,0,4,21.59,1728.0,-0.0,23828,logs/raw/251125_175746/depth-4/run_experiment.py_car_evaluation_enc.csv/stdout.log,run_experiment.py_car_evaluation_enc.csv
tic-tac-toe_enc.csv,600.0,958.0,808.0,18.6,83702,0,4,0.51,958.0,-0.0,4560,logs/raw/251125_175746/depth-4/run_experiment.py_tic-tac-toe_enc.csv/stdout.log,run_experiment.py_tic-tac-toe_enc.csv
