Instance,Time,Best Bound,Best Objective,Gap,Nodes,Simplex Iterations,Depth,Root Time,Root Bound,Root Heu,Root Iterations,instance_name
kr-vs-kp_enc.csv,600.0,3196.0,3040.0,5.13,469,0,5,338.73,3196.0,-0.0,82156,run_experiment.py_kr-vs-kp_enc.csv
monk2_enc.csv,600.0,169.0,152.0,11.2,1689284,0,5,3.02,169.0,-0.0,10291,run_experiment.py_monk2_enc.csv
hayes-roth_enc.csv,600.0,118.0,118.0,0.0,163262,28615226,5,0.88,132.0,-0.0,4422,run_experiment.py_hayes-roth_enc.csv
soybean-small_enc.csv,3.6328449696302414,47.0,47.0,0.0,1,2459,5,0.13,47.0,-0.0,1581,run_experiment.py_soybean-small_enc.csv
house-votes-84_enc.csv,468.1684468090534,232.0,232.0,0.0,448,811971,5,3.76,232.0,-0.0,8565,run_experiment.py_house-votes-84_enc.csv
spect_enc.csv,600.0,246.5,240.0,2.71,682857,0,5,11.39,255.8571,19.0,18789,run_experiment.py_spect_enc.csv
breast-cancer_enc.csv,600.0,277.0,246.0,12.6,1003473,0,5,1.3,277.0,-0.0,7110,run_experiment.py_breast-cancer_enc.csv
monk3_enc.csv,91.28000128269196,122.0,122.0,0.0,171,273800,5,1.41,122.0,-0.0,6840,run_experiment.py_monk3_enc.csv
monk1_enc.csv,24.741386398673058,124.0,124.0,0.0,1,61885,5,2.29,124.0,-0.0,6686,run_experiment.py_monk1_enc.csv
balance-scale_enc.csv,600.0,603.77778,506.0,19.3,32949,0,5,1.02,625.0,-0.0,7083,run_experiment.py_balance-scale_enc.csv
car_evaluation_enc.csv,600.0,1728.0,1466.0,17.9,4183,0,5,101.94,1728.0,-0.0,52959,run_experiment.py_car_evaluation_enc.csv
tic-tac-toe_enc.csv,600.0,958.0,864.0,10.9,15734,0,5,1.85,958.0,-0.0,5161,run_experiment.py_tic-tac-toe_enc.csv
